date,count
2017-04-09,1
2017-04-16,0
2017-04-23,0
2017-04-30,1
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,1
2017-06-18,0
2017-06-25,0
2017-07-02,1
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,2
2017-11-26,0
2017-12-03,1
2017-12-10,1
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,2
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,1
2018-03-25,0
2018-04-01,0
2018-04-08,1
2018-04-15,0
2018-04-22,0
2018-04-29,1
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
